FIPS,County,State,Region,Population,Median_Income,Healthcare_Access,Insurance_Rate,Education_Rate,Poverty_Rate,No_Vehicle_Rate,Disability_Rate,LEP_Rate,Broadband_Rate,Cluster,Cluster_Name,Lat,Lng
01001,Autauga,Alabama,Southeast,59285.0,69841.0,52.03774920634921,0.27831660622417137,10.994349329509994,10.684306413989205,3.7650401811481595,47.76284230324573,0.0,20469.0,2,Urban Diverse,32.467214245903364,-86.35408554240131
01003,Baldwin,Alabama,Southeast,239945.0,75019.0,69.30647619047619,0.515534810060639,14.731709350059388,10.514698717595671,2.154434606200207,48.44700554278762,25.0,84942.0,0,Rural Low-Income,32.27672070964864,-86.6242188399664
01005,Barbour,Alabama,Southeast,24757.0,44290.0,42.407857142857154,0.7391848770044835,4.762289453487902,21.92147806004619,11.112334801762115,45.93036661286604,0.0,6565.0,2,Urban Diverse,32.51250656143021,-86.78879959053539
01007,Bibb,Alabama,Southeast,22152.0,51215.0,43.70609047619049,0.21668472372697722,5.060491152040448,20.51158533648056,6.524897635715229,51.18617968336461,0.0,6144.0,2,Urban Diverse,32.7751089569224,-87.2974493363603
01009,Blount,Alabama,Southeast,59292.0,61096.0,46.469895238095255,0.31707481616406935,6.894690683397423,14.095286797920394,4.299949947672567,50.488704550476804,0.0,18445.0,2,Urban Diverse,32.247953987582996,-87.24104038645014
01011,Bullock,Alabama,Southeast,10157.0,36723.0,40.24431701298701,0.05907256079551048,4.853795412031111,25.651127161304444,12.626701419055895,50.58977719528178,0.0,2244.0,2,Urban Diverse,32.247958912915244,-86.40245243788134
01013,Butler,Alabama,Southeast,18807.0,44881.0,43.41739523809524,0.3137129792098687,5.561758919551231,21.015866139600366,5.879922886257229,45.908452984994064,0.0,5792.0,2,Urban Diverse,32.791963844652216,-86.59056039843786
01015,Calhoun,Alabama,Southeast,116141.0,55826.0,54.09336825396824,0.4916437778217856,8.474182243996522,17.462188175211157,6.382271468144045,48.21055210000962,0.0,38509.0,2,Urban Diverse,32.54843041874587,-86.91790780775102
01017,Chambers,Alabama,Southeast,34450.0,49295.0,44.322041269841286,0.8301886792452831,6.925979680696662,15.480078380143697,7.765109173559878,46.44718631290674,0.0,10569.0,2,Urban Diverse,32.17735768421951,-87.06946381830635
01019,Cherokee,Alabama,Southeast,25224.0,50769.0,43.78423333333333,0.0792895654931811,6.842689502061529,14.523339643159208,3.092488307721676,49.23039923039923,0.0,8406.0,2,Urban Diverse,32.48096801307579,-87.71262314924455
01021,Chilton,Alabama,Southeast,45500.0,61873.0,47.44296666666668,0.2681318681318681,6.281318681318682,13.614793360810962,2.9508943830465992,48.832163652062256,0.0,14417.0,2,Urban Diverse,32.17917469215626,-87.33064096747377
01023,Choctaw,Alabama,Southeast,12525.0,44483.0,45.20984112554114,0.49500998003992014,7.11377245508982,19.53055443140429,6.494008504058756,46.852075775896814,0.0,3712.0,2,Urban Diverse,32.17848107392892,-86.1377323651441
01025,Clarke,Alabama,Southeast,22802.0,49167.0,42.8003142857143,0.048241382334882905,6.775721427944917,20.54311959332917,10.979649787032656,47.512559462944026,0.0,6000.0,2,Urban Diverse,32.39078868146981,-87.41448222840098
01027,Clay,Alabama,Southeast,14188.0,51852.0,40.03135714285716,0.0,8.133634056949536,16.5465032444124,5.8803122289679095,48.09835358401035,0.0,4483.0,2,Urban Diverse,31.744215926602656,-86.82650807151157
01029,Cleburne,Alabama,Southeast,15254.0,53319.0,39.89575714285717,0.09177920545430707,7.873344696473056,13.154754011404323,6.086510514617884,49.84691160809372,0.0,4396.0,2,Urban Diverse,31.80072465024609,-86.49932241072192
01031,Coffee,Alabama,Southeast,54231.0,64672.0,48.950048629148625,0.741273441389611,8.292305139127068,17.618860363649983,3.969319271332694,48.376760428258955,0.0,18123.0,2,Urban Diverse,32.14951374122771,-87.40426906720091
01033,Colbert,Alabama,Southeast,57648.0,56736.0,45.92117777777779,0.37989175686927557,9.148626144879266,16.876468319366037,3.82376016847669,48.28290944661822,0.0,19098.0,2,Urban Diverse,32.01435066389967,-86.82841581008756
01035,Conecuh,Alabama,Southeast,11411.0,42266.0,45.514012554112554,0.3242485321181316,4.9513627201822805,27.63530244074991,7.663427561837456,46.36427815037063,0.0,3082.0,2,Urban Diverse,32.41247419977858,-86.52713378499574
01037,Coosa,Alabama,Southeast,10323.0,57063.0,46.05112525252527,0.9202751138235009,7.894991765959508,11.626276787502505,4.998809807188764,49.914701455092825,0.0,3377.0,2,Urban Diverse,32.045792777343635,-86.8973002712371
01039,Covington,Alabama,Southeast,37647.0,50886.0,44.58025555555556,0.8234387866231041,6.895635774430897,18.04310251701415,6.105553639185926,48.14236905114202,0.0,11436.0,2,Urban Diverse,31.89450888959941,-85.75493877773329
01041,Crenshaw,Alabama,Southeast,13144.0,49040.0,45.87550144300147,0.9966524650030432,7.958003651856361,16.190772582276512,7.80295566502463,48.37833643699565,0.0,3451.0,2,Urban Diverse,32.75789463067646,-87.56973970355128
01043,Cullman,Alabama,Southeast,89463.0,60916.0,55.196630158730166,0.5197679487609402,8.66727026815555,13.901887645529559,2.784934719045827,49.48667614341479,0.0,29587.0,1,Suburban Middle-Class,32.250467109854036,-86.47880858804645
01045,Dale,Alabama,Southeast,49516.0,53955.0,44.943868253968255,0.2362872606834155,8.825430163987399,18.71096728981594,5.427689817390864,47.53450412340298,0.0,16698.0,2,Urban Diverse,32.338458461406375,-86.97142069495858
01047,Dallas,Alabama,Southeast,37536.0,36810.0,41.814219047619034,0.2877237851662404,7.640664961636828,29.000836458811147,15.09470679813181,46.404403866809886,0.0,12223.0,4,Small Towns,31.89077554413596,-86.59353193806533
01049,DeKalb,Alabama,Southeast,71946.0,51149.0,53.17946190476192,0.5976704750785311,5.719567453367803,20.359848484848484,3.923533492638557,49.9303709330295,0.0,22128.0,2,Urban Diverse,32.154885182642445,-86.7257771393203
01051,Elmore,Alabama,Southeast,88669.0,75553.0,62.90928253968254,0.4285601506727267,11.250831745029267,10.285062171607903,4.070214270343386,46.8723508411639,0.0,29298.0,0,Rural Low-Income,32.35147677691296,-87.195562478844
01053,Escambia,Alabama,Southeast,36695.0,44447.0,42.91421904761906,0.4878048780487805,5.668347186265159,21.204042771349055,6.963461387997809,46.975671018429274,0.0,9636.0,2,Urban Diverse,31.972901926773307,-86.81070144301626
01055,Etowah,Alabama,Southeast,103208.0,53070.0,53.87167619047619,0.49124098907061464,7.45872412991241,17.099703229103202,4.067926455566905,48.37193360426969,0.0,33271.0,2,Urban Diverse,32.4309094055037,-87.64546058055932
01057,Fayette,Alabama,Southeast,16173.0,50733.0,43.15452857142859,0.1978606319173932,6.844741235392321,18.66155104094597,9.733928276317965,48.46322378716745,0.0,4709.0,2,Urban Diverse,32.13800839302436,-86.66100099977145
01059,Franklin,Alabama,Southeast,31978.0,51493.0,44.21964603174604,1.566702107699043,6.366877228094314,17.37475013484786,8.237729664452687,49.293018558262844,0.0,7684.0,2,Urban Diverse,32.230691875062014,-86.78303661360378
